CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT170,Human,Head and neck,Head and neck,Head and Neck Cancer,Head and neck squamous cell carcinoma,Head and neck squamous cell carcinoma,Myeloid cell,Myeloid-derived suppressor cells,MDSCs,"S100A8, S100A9, IL1B",37475874,Single-cell transcriptome analysis reveals the clinical implications of myeloid-derived suppressor cells in head and neck squamous cell carcinoma,Pathology & Oncology Research,2023,Single-cell transcriptomics,"10x genomics, Seurat",clinical phenotype,Survival,Overall Survival,worse,clinical sample,Survival analysis,"TCGA, GSE65858, GSE41613 datasets",clinical analysis,"""By constructing the univariate Cox regression model, we found only the infiltration levels of MDSC showed a significant association with the patient’s overall survival (OS) probability in all three datasets (Figure 3B)."" ""Patients with highly-infiltrated MDSCs usually suffer poor prognostic outcomes, suggesting MDSC infiltration was a prognostic risk factor (HR > 1 and p-value <0.05)."" ""In addition, we constructed the multivariate Cox regression model to explore the correlation between MDSC infiltration and patient OS probability adjusting the effects of tumor stage, age, and gender. The result showed that the MDSC infiltration was an independent factor for predicting the prognostic risk (Figure 3C)."""
CT171,"Mouse, Human",Lung,Lung,Breast Cancer,Breast Cancer,Breast Cancer,Myeloid cell,Neutrophils,IFIT3+ neutrophils,IFIT3、Ifi27l2a、Pim1、Cxcl2,37483625,Integrated analyses of single-cell transcriptomics identify metastasis-associated myeloid subpopulations in breast cancer lung metastasis, Frontiers in Immunology,2023,Single-cell transcriptome sequencing,,clinical phenotype,Tumor Metastasis,Metastasis,promotes,clinical sample,MMTV-PyVT transgenic mice,Jackson Laboratory,mice model,"Obviously, the percent of cluster 7 (Ifit3+ neutrophils) is increased in the lung metastasis group and all metastatic stages. In the normal lung, the percent of cluster 8 (Cd14+ neutrophils) is far higher than all lung-metastasis groups (Figure 4C and Supplementary Figure 6C). The hierarchical clustering displays the network of cluster classifications (Figure 4D).

Then, we performed immunofluorescence staining on the normal lung, primary tumor, and metastatic lung sections using the markers of Tppp3+ monocytes (LY6C and TPPP3), Isg15+ macrophages (F4/80 and ISG15), Ifit3+ neutrophils (MPO and IFIT3), and Il12b+ DCs (CD11c and IL12B) (Figure 6C). The metastasis-associated myeloid cells are indicated by pink arrows, which point out the colocalization of metastasis-associated markers and myeloid cells. The immunofluorescence results are summarized in the plots, which compare the proportions of metastasis-associated myeloid subpopulations between the normal lung or primary tumor and metastatic lung environments (Figure 6D). The results from MMTV-PyVT mice show that TPPP3+ monocytes, ISG15+ macrophages, IFIT3+ neutrophils, and IL12B+ DCs are mainly present in the tumor-reprogrammed lung microenvironment, and the metastasis-associated myeloid subpopulations are validated at the protein level. "
CT172,"Mouse, Human",Lung,Lung,Breast Cancer,Breast Cancer,Breast Cancer,Myeloid cell,Dendritic cells,IL12B+ DCs,Ccl22、Bcl2a1b、Il12b、Bcl2a1a、Bcl2a1d,37483625,Integrated analyses of single-cell transcriptomics identify metastasis-associated myeloid subpopulations in breast cancer lung metastasis, Frontiers in Immunology,2023,Single-cell transcriptome sequencing,,clinical phenotype,Tumor Metastasis,Metastasis,promotes,clinical sample,MMTV-PyVT transgenic mice,Jackson Laboratory,mice model,"In particular, cluster 7 (Il12b+ DCs) is not present in the normal lung and cluster 10 (Vim+ DCs) is not present in the metastatic lung, which indicate that cluster 7 closely correlates with lung metastasis and cluster 10 closely correlates with normal lung (Figure 5C and Supplementary Figure 6D).

 Then, we performed immunofluorescence staining on the normal lung, primary tumor, and metastatic lung sections using the markers of Tppp3+ monocytes (LY6C and TPPP3), Isg15+ macrophages (F4/80 and ISG15), Ifit3+ neutrophils (MPO and IFIT3), and Il12b+ DCs (CD11c and IL12B) (Figure 6C). The metastasis-associated myeloid cells are indicated by pink arrows, which point out the colocalization of metastasis-associated markers and myeloid cells. The immunofluorescence results are summarized in the plots, which compare the proportions of metastasis-associated myeloid subpopulations between the normal lung or primary tumor and metastatic lung environments (Figure 6D). The results from MMTV-PyVT mice show that TPPP3+ monocytes, ISG15+ macrophages, IFIT3+ neutrophils, and IL12B+ DCs are mainly present in the tumor-reprogrammed lung microenvironment, and the metastasis-associated myeloid subpopulations are validated at the protein level. 

"
CT173,"Mouse, Human",Lung,Lung,Breast Cancer,Breast Cancer,Breast Cancer,Myeloid cell,Macrophages,ISG15+ macrophages,Ifit3、Rsad2、Cxcl10、Isg15、Plac8,37483625,Integrated analyses of single-cell transcriptomics identify metastasis-associated myeloid subpopulations in breast cancer lung metastasis, Frontiers in Immunology,2023,Single-cell transcriptome sequencing,,clinical phenotype,Tumor Metastasis,Metastasis,promotes,clinical sample,MMTV-PyVT transgenic mice,Jackson Laboratory,mice model,"Cluster 1, 5, and 7 have higher proportions in lung metastasis group than that in normal lung group, and cluster 12, 13, 14, and 16 have higher proportions in normal lung group than that in lung metastasis group. Moreover, the results show that cluster 1, 5, 7, 9, and 10 with increasing proportions during metastatic stages are associated with lung metastasis, especially cluster 5 (Isg15+ macrophages).

The immunofluorescence results are summarized in the plots, which compare the proportions of metastasis-associated myeloid subpopulations between the normal lung or primary tumor and metastatic lung environments (Figure 6D). The results from MMTV-PyVT mice show that TPPP3+ monocytes, ISG15+ macrophages, IFIT3+ neutrophils, and IL12B+ DCs are mainly present in the tumor-reprogrammed lung microenvironment, and the metastasis-associated myeloid subpopulations are validated at the protein level. "
CT174,"Mouse, Human",Lung,Lung,Breast Cancer,Breast Cancer,Breast Cancer,Myeloid cell,Monocytes,TPPP3+ monocytes,Vim、TPPP3、S100a10、Lmna、Anxa1,37483625,Integrated analyses of single-cell transcriptomics identify metastasis-associated myeloid subpopulations in breast cancer lung metastasis, Frontiers in Immunology,2023,Single-cell transcriptome sequencing,,clinical phenotype,Tumor Metastasis,Metastasis,promotes,clinical sample,MMTV-PyVT transgenic mice,Jackson Laboratory,mice model,"The results indicate that cluster 1, 4, 5, 7, 10, and 15 with increasing proportions during metastatic stages are associated with lung metastasis, especially cluster 1 (Tppp3+ monocytes).

Then, we performed immunofluorescence staining on the normal lung, primary tumor, and metastatic lung sections using the markers of Tppp3+ monocytes (LY6C and TPPP3), Isg15+ macrophages (F4/80 and ISG15), Ifit3+ neutrophils (MPO and IFIT3), and Il12b+ DCs (CD11c and IL12B) (Figure 6C). The metastasis-associated myeloid cells are indicated by pink arrows, which point out the colocalization of metastasis-associated markers and myeloid cells. The immunofluorescence results are summarized in the plots, which compare the proportions of metastasis-associated myeloid subpopulations between the normal lung or primary tumor and metastatic lung environments (Figure 6D). The results from MMTV-PyVT mice show that TPPP3+ monocytes, ISG15+ macrophages, IFIT3+ neutrophils, and IL12B+ DCs are mainly present in the tumor-reprogrammed lung microenvironment, and the metastasis-associated myeloid subpopulations are validated at the protein level."
CT175,Human,Bone,Bone Marrow,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Pediatric and Adult AML,Leukemic Cell,HSC-like Cells,CD69+ HSC-like Cells,"CD69、CD34, MLLT3, MSI2, LYL1, HOPX",37653425,Single‑cell transcriptomics reveals multiple chemoresistant properties in leukemic stem and progenitor cells in pediatric AML,Genome Biology,2023,Single-cell RNA sequencing,the Illumina Novaseq 6000 Platform,biological phenotype,Drug Response,chemoresistance,,clinical sample,Flow cytometry,BD Biosciences,clinical sample,"Notably, the presence of CD69+ HSC-like cells is associated with unfavorable genetic mutations, the persistence of residual tumor cells in chemotherapy, and poor outcomes in independent pediatric and adult public AML cohorts.

At the end of the first cycle of the chemotherapy regimen, 37.9% (44/116) of patients were found to be MRD-positive, with a clinical cutoff of 0.1%. Notably, the MRD positivity rate for the CD69+-high group was 61.1% (22/36), which was significantly higher than that of the CD69+-low group, irrespective of the therapeutic regimen used (22/80, 27.5%, p=0.0009; Fig. 7e and Additional file 1: Fig. S9e)."
CT176,Human,Bone Marrow,Bone Marrow,Acute Myeloid Leukemia,Pediatric and Adult Acute Myeloid Leukemia,Pediatric and Adult Acute Myeloid Leukemia,Stem cell,HSC-like,CD69+ HSC-like subpopulation,CD69,37653425,Single‑cell transcriptomics reveals multiple chemoresistant properties in leukemic stem and progenitor cells in pediatric AML,Genome Biology,2023,Single-cell RNA sequencing,10X Genomics,clinical phenotype,Survival,Overall Survival,poor,clinical sample,survival analysis,analysis,clinical information,"The presence of CD69+ HSC-like cells is associated with unfavorable genetic mutations, the persistence of residual tumor cells in chemotherapy, and poor outcomes in independent pediatric and adult public AML cohorts.

Additionally, the CD69-high group exhibited an increased relapse rate and worse EFS and OS than the CD69-low group, regardless of whether they had undergone transplantation (Fig. 7f, g and Additional file 1: Fig. S9f)."
CT177,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Fibroblast,Fibroblast,CAF-MMP11,"MMP11, 

POSTN, CTHRC1, COL8A1, COL10A1",37985817,Multiomic analysis of cervical squamous cell carcinoma identifies cellular ecosystems with biological and clinical relevance,Nature genetics,2023,single cell transcriptome,10× Genomics,clinical phenotype,Immune Exclude,immune exclusion,,clinical samples,Immunohistochemistry (IHC) staining,"Abcam, CST",Protein,"Furthermore, we examined the immune cell infiltration in 20 randomly selected CSCCs in our bulk RNA-seq cohort26 using immu nohistochemistry staining (IHC) and multiplex immunofluorescence (Fig. 6b, Extended Data Fig. 8b and Supplementary Table 10). CD8+ T cell infiltration was inversely correlated with the MP6/7 score (Pearson’s r = −0.47, P = 0.037; Fig. 6c)."
CT178,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Fibroblast,Fibroblast,POSTN+ CAF,POSTIN,38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,Nature cancer,2024,single cell transcriptome,BD Biosciences,biological phenotype,Immune Suppression,immuno suppression,,clinical samples,RNAscope in situ hybridization (RNA-ISH),HiPlex12 Reagent Kit v2 Standard Assay kit (Advanced Cell Diagnostics),RNA,"We further validated the existence of the onco-fetal niche by RNAscope experiments and observed increased expression of FOLR2 and PLVAP transcripts in POSTN+ CAF cellular neighborhoods in both HCC tumor and fetal liver (Fig. 4e,f and Supplementary Fig. 6c). "
CT179,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Fibroblast,Fibroblast,POSTN+ CAF,POSTIN,38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,Nature cancer,2024,single cell transcriptome,BD Biosciences,clinical phenotype,Survival,worse overall survival,,clinical samples,survival analysis,analysis,clinical data,"Furthermore, patients with higher levels of onco-fetal CAF signatures and of POSTN alone were associated with worse overall survival in treatment-naive patients (Fig. 2h,i)."
CT180,Human,Breast,Breast,Breast Cancer,Breast Cancer,Breast cancer,Fibroblast,Cancer-associated fibroblasts,CAFs,C1s、CCDC8、COL12A1、CTSO、IGFBP6、MFAP4、NT5E、OSMR、PDLIM4、RUNX1、SAV1、SDC1、SGCE和TLN2,38235137,Integrating single-cell and bulk transcriptomic analyses to develop a cancer-associated fibroblast-derived biomarker for predicting prognosis and therapeutic response in breast cancer, Frontiers in Immunology,2024,"Single-cell transcriptome, Bulk transcriptome","EMTAB8107,TCGA",clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"Patients with a high abundance of tumor-infiltrating CAFs had significantly shorter survival (P<0.01 and P<0.001, Figures 2A, B)."" and ""Kaplan–Meier curves revealed that overall survival (OS), disease-free survival (DFS), disease-specific survival (DSS) and progression-free survival (PFS) were consistently longer in the low-CAFRS group than in the high-CAFRS group (P<0.01) (Figures 4G–J).

 The predictive accuracy of the risk signature was validated in two external cohorts, GSE96058 and METABRIC (Supplementary Figures 3C, D). The expression profiles of signature CAFRGs in these two groups were consistent with those in the training cohort. (Figures 5D, F). Patients in the high-CAFRS group in both cohorts had significantly shorter survival (P< 0.001) (Figures 5C, E). "
CT181,Human,Gynecological,Cervix,Cervical Cancer,Cervical carcinoma,Cervical carcinoma,Epithelial cell,Tumor Epithelial Progenitor Cells,C3 PLP2+ Tumor Epithelial Progenitor Cells,PLP2、CXCL17、CLDN7、CEACAM5、KRT19、CEACAM6、S100A9、TACSTD2、CSTA、SLPI、SPINK5,38482016,Decoding the tumor microenvironment and molecular mechanism: unraveling cervical cancer subpopulations and prognostic signatures through scRNA-Seq and bulk RNA-seq analyses,Frontiers in Immunology,2024,Single-cell RNA sequencing,Illumina HiSeq 2500,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"Compared with low PLP2+ Tumor EPCs score group, the prognosis of high PLP2+ Tumor EPCs score group was worse. As we expected, high PLP2+ Tumor EPCs score was associated with worse clinical outcome, while low PLP2+ Tumor EPCs score was associated with better clinical outcome (P < 0.0001).

Based on the median PLP2+ Tumor EPCs score, all data were divided into two groups: high and low PLP2+ Tumor EPCs score group, and Kaplan Meier curve showed the survival analysis of the two groups. The ROC curve of the survival plot. The area under the curve (AUC) was 0.762, 0.733 and 0.781 for 1, 3 and 5 years, respectively."
CT182,Human,Kidney,Kidney,Renal cell carcinoma,Clear-cell renal cell carcinoma,Clear cell type,Fibroblast,Myofibroblast,C3 HMGA1+ Myofibroblasts,HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas, Frontiers in Immunology,2024,Single-cell RNA sequencing,PRJNA705464,biological phenotype,Tumor Invasion,invasion and migration,promotes,cell lines,"Transwell assay, wound healing assay",unknow,cell,"Our deduction is that the C3, identified as a key subpopulation of Myofibroblasts, likely harbors the most potent interactions with tumor cells. Further scrutiny into the interactions involving the C3 subpopulation and other subpopulations (Figures 8G–I) brought to light that the MPZ signaling pathway network held particular significance among the subpopulations. Notably, MPZL1, a pivotal gene in this pathway, scored the highest within the C3 subpopulation.

The Transwell assay results (Figure 12D) revealed markedly reduced staining regions in cells with MPZL1 knockdown, indicating a diminished invasive capability. In cell scratch assay experiments (Figure 12E), the 48-hour scratch width in both cell lines subjected to MPZL1 knockdown was significantly wider compared to the negative control group. "
CT183,Human,Kidney,Kidney,Renal cell carcinoma,Clear-cell renal cell carcinoma,Clear cell type,Fibroblast,Myofibroblast,C3 HMGA1+ Myofibroblasts,HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas, Frontiers in Immunology,2024,Single-cell RNA sequencing,PRJNA705464,clinical phenotype,Survival,overall survival,worse,clinical sample,survival analysis,analysis,clinical information,"Assessing the proportionality of subpopulations with respect to cell origin (Figures 5J, K) indicated the highest amount and purity in C3 tumor tissues. Examining cell stage distribution (Figures 5F, G) showed a relatively high proportion of G2M and S stages in C3 and C5. The cell stage ratio graph (Figures 5H, I) highlighted significantly higher S stage in C3 compared to G2M and G1 stages, indicating vigorous cellular DNA synthesis, replication, and proliferative ability. G2M.Score and S.Score distributions (Figures 5L–O) revealed higher scores for both C3 and C5 subpopulations. Additionally, comparing nFeature and nCount values of different subpopulation cells (Figures 5P, Q) demonstrated significantly higher values in C3 compared to other subpopulations.

The survival analysis revealed a progressive increase in the number of patient deaths over time, with the high-risk group exhibiting lower survival rates (Figures 9D, E)."
CT184,Human,Kidney,Kidney,Renal cell carcinoma,Clear-cell renal cell carcinoma,Clear cell type,Fibroblast,Myofibroblast,C3 HMGA1+ Myofibroblasts,HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas, Frontiers in Immunology,2024,Single-cell RNA sequencing,PRJNA705464,biological phenotype,Tumor Growth,proliferation,promotes,cell lines,Cell viability assay、5-Ethyl-2 ' -deoxyuridine proliferation assay,CCK-8 assay,cell,"Our deduction is that the C3, identified as a key subpopulation of Myofibroblasts, likely harbors the most potent interactions with tumor cells. Further scrutiny into the interactions involving the C3 subpopulation and other subpopulations (Figures 8G–I) brought to light that the MPZ signaling pathway network held particular significance among the subpopulations. Notably, MPZL1, a pivotal gene in this pathway, scored the highest within the C3 subpopulation.

 In the cluster formation assay, the number of colonies showed a substantial reduction in both cell types following MPZL1 knockdown (Figure 12C). 

The cell proliferation assay (Figure 12F) further demonstrated a lower cell count in both cell lines with MPZL1 knockdown compared to the negative control group."
CT185,Human,Kidney,Kidney,Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Fibroblast,Myofibroblasts,"C3 HMGA1+ Myofibroblasts

",HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas,Frontiers in Immunology,2024,Single-cell RNA sequencing,,clinical phenotype,Survival,Overall Survival,associated with worse survival,clinical sample,survival analysis,analysis,clinical sample,"We conducted a comprehensive analysis of ccRCCs by intersecting differentially expressed genes from the TCGA database with C3 subpopulation marker genes. Through univariate COX risk regression analysis, we identified 46 prognostically relevant differential genes.

Kaplan-Meier curve analysis demonstrated significantly lower survival rates in the high-risk group (Figure 9H), with a meaningful result (P < 0.0001)."
CT186,Human,Kidney,Kidney,Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Fibroblast,Myofibroblasts,"C3 HMGA1+ Myofibroblasts

",HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas,Frontiers in Immunology,2024,Single-cell RNA sequencing,,biological phenotype,Tumor Growth,Proliferation，promotes Tumor Growth,promotes,cell lines,"CCK-8 assay, Colony formation assay, EdU assay",,cell lines,"Our deduction is that the C3, identified as a key subpopulation of Myofibroblasts, likely harbors the most potent interactions with tumor cells. Further scrutiny into the interactions involving the C3 subpopulation and other subpopulations brought to light that the MPZ signaling pathway network held particular significance among the subpopulations. Notably, MPZL1, a pivotal gene in this pathway, scored the highest within the C3 subpopulation.

Remarkably, both cell types exhibited significantly diminished cell viability levels upon MPZL1 knockdown (Figures 12A, B). In the cluster formation assay, the number of colonies showed a substantial reduction in both cell types following MPZL1 knockdown (Figure 12C). The cell proliferation assay (Figure 12F) further demonstrated a lower cell count in both cell lines with MPZL1 knockdown compared to the negative control group."
CT187,Human,Kidney,Kidney,Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Cell Renal Cell Carcinoma,Fibroblast,Myofibroblasts,"C3 HMGA1+ Myofibroblasts

",HMGA1,38562930,Deciphering the molecular landscape: integrating single-cell transcriptomics to unravel myoﬁbroblast dynamics and therapeutic targets in clear cell renal cell carcinomas,Frontiers in Immunology,2024,Single-cell RNA sequencing,,biological phenotype,Tumor Invasion,promotes Invasion and Migration,promotes,cell lines,"Transwell assay, Scratch assay",,cell lines,"Our deduction is that the C3, identified as a key subpopulation of Myofibroblasts, likely harbors the most potent interactions with tumor cells. Further scrutiny into the interactions involving the C3 subpopulation and other subpopulations brought to light that the MPZ signaling pathway network held particular significance among the subpopulations. Notably, MPZL1, a pivotal gene in this pathway, scored the highest within the C3 subpopulation.

The Transwell assay results (Figure 12D) revealed markedly reduced staining regions in cells with MPZL1 knockdown, indicating a diminished invasive capability. In cell scratch assay experiments (Figure 12E), the 48-hour scratch width in both cell lines subjected to MPZL1 knockdown was significantly wider compared to the negative control group."
CT188,Human,Pancreas,Liver,Pancreatic cancer,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma,T cell,Regulatory T cells,Treg-TIGIT,TIGIT,38702773,Single-cell transcriptome analysis reveals subtype-specific clonal evolution and microenvironmental changes in liver metastasis of pancreatic adenocarcinoma and their clinical implications,Molecular Cancer,2024,Single-cell RNA sequencing,unknown,biological phenotype,Immune Suppression,Immunosuppressive TME,promotes,clinical sample,Multiplex immunohistochemistry,unknown,protein,"""These two liver metastases-specific immunosuppressive interactions between ductal cells and Tregs were further validated using multiplex immunohistochemistry (mIHC) (Fig. 2D, Fig. S11-13)."""
CT189,Human,Liver,Intrahepatic bile duct,Liver Cancer,Intrahepatic cholangiocarcinoma,Intrahepatic cholangiocarcinoma,Fibroblast,Cancer-associated fibroblasts,Cancer-associated fibroblasts,"EVA1A, APBA2, LRRTM4, GOLGABM, BPIFB2",38702814,Integrative analyses of bulk and single- cell transcriptomics reveals the infiltration and crosstalk of cancer-associated fibroblasts as a novel predictor for prognosis and microenvironment remodeling in intrahepatic cholangiocarcinoma,Journal of Translational Medicine,2024,Single-cell transcriptomics and WGCNA,Single-cell transcriptomics and WGCNA,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset analysis,GEO datasets (GSE89748 and GSE107943),clinical analysis,"""In the validation phase, GSE8974 and GSE107943 were utilized to confirm the predictive efficacy of the CAFsbased risk model. Kaplan–Meier analysis and risk plots consistently illustrated that patients with a high CAFs-score experienced a shorter survival time compared to their low-score counterparts in both GEO databases (Fig. 3A, B, C and D)."""
CT190,Human,multiple,multiple,pan-cancer,pan-cancer,pan-cancer,Fibroblast,Cancer-associated fibroblasts,antigen-presenting CAFs,CD74、HLA-DRA、HLA-DPB1,38903527,A pan-cancer single-cell transcriptional analysis of antigen-presenting cancer-associated ﬁbroblasts in the tumor microenvironment,Frontiers in Immunology,2024,Single-cell RNA sequencing,10× Genomics,biological phenotype,Immune Infiltration,CD4+ effector T cells infiltration,positive association,clinical sample,Spatial transcriptomics,10X Visium,RNA,"We demonstrated a robust positive correlation between apCAFs gene signature scores and CD4+ effector T cells gene signature scores in the TCGA-HNSC (Figure 2E) and TCGA-OV (Figure 2F).

In the HNSCC slice, we observed a co-localization distribution pattern of enriched regions for CD4+ effector T cells gene signature and apCAFs gene signature. In other words, the regions enriched with CD4+ effector T cells gene signature exhibited elevated apCAFs gene signature and the areas enriched with apCAFs gene signature showed increased CD4+ effector T cells gene signature (Figure 3D; Supplementary Figures 10D, I)."
CT191,Human,multiple,multiple,pan-cancer,pan-cancer,pan-cancer,Fibroblast,Cancer-associated fibroblasts,antigen-presenting CAFs,CD74、HLA-DRA、HLA-DPB1,38903527,A pan-cancer single-cell transcriptional analysis of antigen-presenting cancer-associated ﬁbroblasts in the tumor microenvironment,Frontiers in Immunology,2024,Single-cell RNA sequencing,10× Genomics,clinical phenotype,Survival,Overall Survival,better,clinical sample,survival analysis,analysis,clinical information,"Utilizing clinical data obtained from the TCGA-HNSC cohort, we showed that higher signature scores of apCAFs were linked to improved prognosis outcome in HNSCC (Figure 2A).

Similarly, in 7 other cohorts like GSE102349-NPC, TCGA-CESC, TCGA-COAD, TCGA-READ, TCGA-BRCA, TCGA-SKCM, and TCGA-KIRC, we consistently showed that elevated signature scores of apCAFs were associated with improved survival outcome in most cancer types other than BRCA (Supplementary Figures 7A-G)."
CT192,Human,Kidney,Kidney,Renal Cell Carcinoma,Clear-cell renal cell carcinoma,Clear Cell Renal Cell Carcinoma,Endothelial cell,Tumor vasculature,Tumor AVR-like vasculature,"ACKR1, VCAM1",38942917,Single-cell transcriptional profiling of clear cell renal cell carcinoma reveals a tumor-associated endothelial tip cell phenotype,Communications Biology,2024,Single-cell RNA sequencing,,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"However, this analysis also uncovered an enrichment of epithelial-mesenchymal transition (EMT) associated genes in all tumor vasculature and stromal cell subpopulations. Interestingly, the overexpression of EMT pathway overlapping genes for AVR-like tumor vasculature (Fig. 4b) and TV 3 population (Fig. 4c) was associated with a significantly worse overall survival in the TCGA KIRC cohort."
CT193,Human,Kidney,Kidney,Renal Cell Carcinoma,Clear-cell renal cell carcinoma,Clear Cell Renal Cell Carcinoma,Endothelial cell,Tumor vasculature,Tumor vasculature 3 (TV 3),"LOX, PXDN, LY6H, PGF",38942917,Single-cell transcriptional profiling of clear cell renal cell carcinoma reveals a tumor-associated endothelial tip cell phenotype,Communications Biology,2024,Single-cell RNA sequencing,,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"Intriguingly, our ccRCC atlas also unveiled an uncharacterized population of tumor vasculature (referred to as TV 3) that appeared as the most distinct from the rest of TV cells (Fig. 3c). This population was marked by high expression of tip cell markers LOX, PXDN, LY6H and PGF31,46 (Supplementary Fig. S4a, Supplementary Data S10), characteristic of a tip cell phenotype.

However, this analysis also uncovered an enrichment of epithelial-mesenchymal transition (EMT) associated genes in all tumor vasculature and stromal cell subpopulations. Interestingly, the overexpression of EMT pathway overlapping genes for AVR-like tumor vasculature (Fig. 4b) and TV 3 population (Fig. 4c) was associated with a significantly worse overall survival in the TCGA KIRC cohort. "
CT194,Human,Kidney,unknown,Renal Cancer,Clear-cell renal cell carcinoma,Clear-cell renal cell carcinoma,T cell,Regulatory T cells,Regulatory T cells,PLK1,38953023,"Anoikis resistance regulates immune infiltration and drug sensitivity in clear-cell renal cell carcinoma: insights from multi omics, single cell analysis and in vitro experiment",Frontiers in Immunology,2024,Single-cell RNA sequencing,Single-cell RNA sequencing,biological phenotype,Immune Suppression,Immunosuppressive microenvironment,promotes,clinical sample,Immunohistochemistry and Quantitative real-time PCR,unknown,protein and RNA,"""Single-cell insights showed ARG enrichment in Tregs and dendritic cells, affecting immune checkpoints.""""Immunohistochemical analysis reveals that ARGs protein expression is markedly elevated in ccRCC tissues responsive to immunotherapy."""
CT195,Human,Gut,Colorectum,Colorectal Cancer,Colorectal Cancer,unknown,Cancer cell,Epithelial cells,NME1+epi,NME1,39075485,Spatial transcriptome and single-cell reveal the role of nucleotide metabolism in colorectal cancer progression and tumor microenvironment,Journal of Translational Medicine,2024,Single-cell RNA-sequencing,Single-cell RNA-sequencing,clinical phenotype,Drug Response,Immunotherapy Response,better,clinical sample,immunotherapy cohort analysis,unknown,clinical analysis,"""To comprehensively assess the role of CMLS in MUC immunotherapy, we first investigated NRS and immune infiltration. The higher the risk score, the more infiltrated immune cells, such as T cells, B cells, macrophages, monocytes, endothelial cells, fibroblasts (Supplementary Fig. 10).The high-risk group had a higher percentage of patients who responded to immunotherapy, and the patients who responded to immunotherapy also had a higher risk score."" ""The higher risk score group showed better prognostic outcomes and the same results were confirmed in three other immunotherapy cohorts."""
CT196,Human,Gut,Colorectum,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer,Cancer cell,Epithelial cells,NME1+epi,NME1,39075485,Spatial transcriptome and single-cell reveal the role of nucleotide metabolism in colorectal cancer progression and tumor microenvironment,Journal of Translational Medicine,2024,"Single-cell RNA-sequencing, Spatial transcriptomics","Single-cell RNA-sequencing, Spatial transcriptomics",biological phenotype,Tumor Metastasis,Metastasis,inhibits,cell lines,"cell culture experiments, Transwell assays, wound healing",unknown,"protein, functional assay","""WB analysis revealed that NME1 knockdown led to a diminution in the expression of TWIST and SLUG, and an augmentation in the expression of E-cadherin."" ""Subsequent wound healing assays demonstrated that the silencing of NME1 amplified the migratory capability of SW480/HCT116 cells."" ""Transwell assay authenticated that the silencing of NME1 enhanced the invasiveness of HCT116 and SW480 cells."""
